gismu,標準,タグ,内容語,キーワード,原文,lo go'i,lo se go'i,lo te go'i,lo ve go'i,lo xe go'i,la go'i,rafsi,rafsi2,語法,使用例,参照,Tips,ロジバンたんのメモ,覚え方,上位概念,PS分類,@1型,@2型,@3型,@4型,@5型
stici,TRUE,位置関係、方角、方向,@1は@2に対して@3から見ると西方［西側］にある［いる］,西、W,@1 is to the west/western side of @2 according to frame of reference @3.,,,,,,,-sic-,,,,,,,シー,,DDD,もの,もの,もの,-,-
stidi,TRUE,,@1は@2《概念・行動》を@3〈者〉に示唆［推奨、提案］する；@1《こと》は@2を@3にたいして鼓舞する,示唆、推奨、提案,@1 (agent) suggests/proposes idea/action @2 to audience @3; @1 (event) inspires @2 in/among @3.,,,,,,,-sid-   ,-ti'i-,,,,,,,,,,,,,
stika,TRUE,,@1は@2《属性・数量》を@3〈程度〉ほど調整する,調整,@1 (event) adjusts/regulates/changes @2 (ka/ni) in amount/degree @3.,,,,,,,-tik-,,結果（調整した後どうなったか）は含意されない。 ,,,,,,,,,,,,
stizu,TRUE,,@1は椅子［腰掛、ベンチ］である,椅子、腰掛、ベンチ,"@1 is a chair/stool/seat/bench, a piece or portion of a piece of furniture intended for sitting.",,,,,,,-tiz-,,,,,,,,,D,もの,-,-,-,-
stodi,TRUE,,@1は@2《属性》の面で@3〈刺激・状況〉にたいして不変［一定］である,不変、一定,@1 is constant/invariant/unchanging in property @2 (ka) in response to stimulus/conditions @3.,,,,,,,-sto-,,「しっかりしている」も。 ,,,,,,,,,,,,
stuna,TRUE,位置関係、方角、方向,@1は@2に対して@3から見ると東方［東側］にある［いる］,東、E,@1 is to the east/eastern side of @2 according to frame of reference @3.,,,,,,,-sun-,,,,,,,,,DDD,もの,もの,もの,-,-
stura,TRUE,,@1は@2〈集合・体系〉の構造［配置、組織］である,構造、配置、組織,@1 is a structure/arrangement/organization of @2 [set/system/complexity].,,,,,,,-tur-   ,-su'a-,,,,,,,,,,,,,
stuzi,TRUE,,@1は@2《もの・こと》の本質的［（恒久的な）場所、現場］である,場所,@1 is an inherent/inalienable site/place/position/situation/spot/location of @2 (object/event).,,,,,,,-tuz-   ,-stu-,「.ausai mi xabju lo stuzi be lo glajau jinto／私はどうでも温泉所在地に草庵を結びたい」（山頭火『行乞記（二）』） ,,,,,,,,,,,,
sucta,TRUE,,@1《概念》は@2〈具体的なもの〉を@3〈原理〉によって抽象［概念、一般］化したもの,抽象、概念、一般,@1 (si'o) is abstracted/generalized/idealized from @2 [something concrete] by rules @3.,,,,,,,-suc-,,x1は「si'o」などで抽象化する。『アビニヨンの娘たち』（x1）はピカソが女（ x2 ）をキュビスム（ x3 ）で抽象化したもの。 ,,,,,,,,,,,,
sudga,TRUE,,@1は@2（液体）を欠いて乾燥している［乾いている］,乾燥、乾いている,@1 is dry of liquid @2; (adjective:) @1 is arid.,,,,,,,-sud-,,,,,,,,,,,,,,
sufti,TRUE,身体、部位,@1は@2〈本体〉の蹄である,蹄、ひづめ,@1 is a/the hoof [body-part] of @2.,,,,,,,-sfu-,,,,,,,,,DD,もの,もの,-,-,-
suksa,TRUE,,@1《こと・状態》は@2（時点）において@3《属性》に関して突然／唐突／急／いきなり,,@1 (event/state) is sudden/sharply changes at stage/point @2 in process/property/function @3.,,,,,,,-suk-,,「不意」「無骨」も。 ,,,,,,,,,,,,
sumji,TRUE,,@1は@2@3の合計［総計］である,合計、総計,@1 is a mathematical sum/result/total of @2 plus/increased by @3.,,,,,,,-suj-,,,,,,,,,,,,,,
sumne,TRUE,,@1は@2を嗅ぐ［匂う］,嗅ぐ、匂う,@1 (experiencer) smells/scents (transitive verb) @2; @2 smells/has odor/scent to observer @1.,,,,,,,,,,,,,,,,,,,,,
sumti,TRUE,,@1は@2《述語・関数》の場所@3〈種類・番号〉を占める項である,項,@1 is a/the argument of predicate/function @2 filling place @3 (kind/number).,,,,,,,-sum-   ,-su'i-,,,,,,,,,,,,,
sunga,TRUE,生物、植物,@1は@2〈種類〉のニンニクである,ニンニク,@1 is a quantity of garlic [bulb] of species/strain @2.,,,,,,,-sug-,,,,,,,,2,DD,もの,もの,-,-,-
sunla,TRUE,,@1は@2〈動物種・原料〉のウール［羊毛］である,ウール、羊毛,@1 is a quantity of/made from/consists of wool [tight curly hair] from animal/species/source @2.,,,,,,,-sul-,,,,,,,,,,,,,,
surla,TRUE,,@1は@2《動作》に関してくつろぐ［リラックスする］,くつろぐ、リラックス,@1 relaxes/rests/is at ease in/by doing/being @2 (activity).,,,,,,,-sur-,,,,,,,,,,,,,,
sutra,TRUE,,@1は@2《動作・こと》に関して速い［すばやい］、敏速［俊敏］である,速い、すばやい］、敏速、俊敏,@1 is fast/swift/quick/hastes/rapid at doing/being/bringing about @2 (event/state).,,,,,,,-sut-,,「le lenku dilnu cu sutkla a'idai／寒い雲がいそぐ」（山頭火『行乞記（二）』） ,,,,,,,,,,,,
tabno,TRUE,元素,@1は炭素［C］,炭素、C,@1 is a quantity of/contains/is made of carbon/graphite/[diamond]/charcoal; @1 is organic.,,,,,,,-tab-,,,,,,,,ratni,D,もの,-,-,-,-
tabra,TRUE,,@1は金管楽器である,金管楽器、ホルン、トランペット、トロンボーン、喇叭、ラッパ,@1 is a horn/trumpet/trombone/bugle [brass-wind/lip-reed musical instrument].,,,,,,,,,金属で作られているとは限らない。 ,,,,,,,D,もの,-,-,-,-
tadji,TRUE,,@1〈過程〉は@2《こと》を@3〈状態条件〉のもと遂行するための方式［方法、用法、手段、マナー］である,方法、方式、用法、手段、マナー,@1 [process] is a method/technique/approach/means for doing @2 (event) under conditions @3.,,,,,,,,,,,,,,,,,,,,,
tadni,TRUE,,@1は@2を学ぶ［研究する］；@1は学生［研究家、学者］である,学ぶ、研究,@1 studies/is a student of @2; @1 is a scholar; (adjective:) @1 is scholarly.,学生、研究家、学者,研究対象,,,,,-tad-,,「cilre」と違い、より学術的／体系的／先鋭的な知識の追究を表し、それによる新たな発見が可能性として含意される。 ,,,,,,zukte,DD,もの,もの,-,-,-
tagji,TRUE,,@1は@2〈対象本体〉@3〈対象箇所〉にたいしてかっちり［ぴったり、しっかりしている］；@1は@2から外れない［離れない］,かっちり,@1 is snug/tight on @2 in dimension/direction @3 at locus @4.,,,,,,,-tag-,,,,,,,,,,,,,,
taksi,FALSE,,@1is a taxi,,@1 is a taxi,,,,,,,,,"See also {aftobuso}. For denoting passengers, engine, towns and cities etc. used in combination with {karce}, {carce}, {marce}, {tcadu}.",,,,,,,,,,,,
talsa,TRUE,,@1（人）は@2を@3《属性》について挑む； @2に@3があるかどうかを @1は試す,,@1 (person) challenges @2 at/in property @3.,,,,,,,-tal-,,対戦するという意味ではなく、 x2 の実力をx1が喚起して観察するという意味。 ,,,,,,,,,,,,
tamca,TRUE,生物、植物,@1は@2〈種類〉のトマトである,トマト,@1 is a tomato [fruit/vegetable/plant] of species/strain @2.,,,,,,,,,昔はトマト属という属があったのですが、90年代に入ってナス属に分類されるようになりました。多分、元々トマト属に分類されていたものは{tamca}と言ってもいいのかなと思います。,,,そういえばなんでナスはgismuにないんだろう？ナスはロジバンで{mlongena}とか{brinjela}とか{bringela}だったりするけど、ナス属はgismuじゃダメだったの？理由が分かる人教えて下さい >_<;,,トマト食べたﾑｼｬﾑｼｬ,2,DD,もの,もの,-,-,-
tamji,TRUE,,@1は@2（肢）・@3〈本体〉の親指,親指,@1 is a/the thumb/big toe [body-part] on limb @2 of @3; [metaphor based on relative shape].,,,,,,,-taj-,,,,,,,,,,,,,,
tamne,TRUE,,@1は@2の@3〈血縁〉による従兄弟［従姉妹］である,従兄弟、従姉妹,"@1 is cousin to @2 by bond/tie @3; [non-immediate family member, default same generation].",,,,,,,,,,,,,,,,,,,,,
tanbo,TRUE,もの、@2が素材,@1は@2〈素材〉の板である,板,@1 is a board/plank [3-dimensional long flat rectangle] of material @2.,,,,,,,-ta'o-,,x3次元の、薄く、主に長方形の物体全般。 ,,,,,,,DD,もの,もの,-,-,-
tance,TRUE,身体、部位,@1は@2〈本体〉の舌である,舌,"@1 is a/the tongue [body-part] of @2; (metaphor: similar to nazbi, tamji, degji).",,,,,,,-tac-,,,,,,,,,DD,もの,もの,-,-,-
tanjo,TRUE,,@1は@2〈角度・逆正接〉の正接である,タンジェント,@1 is the trigonometric tangent of angle/arctangent @2.,,,,,,,,,,,,,,,,,,,,,
tanko,TRUE,,@1は@2〈種類〉のタバコ属の植物［葉］である,タバコ,@1 is a quantity of tobacco [leaf] of species/strain @2.,,,,,,,,,植物原料であって製品ではない。 ,,,,,,,,,,,,
tanru,TRUE,,@1は@2〈修飾語〉@3〈被修飾語〉@4〈意味〉@5〈使用法・例文〉の複合語である,複合語,"@1 is a binary metaphor formed with @2 modifying @3, giving meaning @4 in usage/instance @5.",,,,,,,-tau-,,x2 と x3 は、「文字列」か「概念」。 ,,,,,,,,,,,,
tansi,TRUE,,@1は@2〈内容〉@3〈素材〉のたらい［水ばち、水盤、流し］,たらい、水ばち、水盤、流し,"@1 is a pan/basin/tub/sink, a shallow container for contents @2, of material/properties @3.",,,,,,,-tas-,,「baktu」よりも底が浅い。「ボウル」も。 ,,,,,,,,,,,,
tanxe,TRUE,,@1は@2〈内容〉・@3〈素材〉の箱［カートン］である,箱、カートン,"@1 is a box/carton/trunk/crate for contents @2, and made of material @3.",,,,,,,-tax-   ,-ta'e-,「ダンボール箱」も。 ,,,,,,,,,,,,
tapla,TRUE,,@1は@2〈素材〉@3〈形状〉@4〈厚さ〉の瓦［タイル］である,瓦、タイル,"@1 is a tile/cake [shape/form] of material @2, shape @3, thickness @4.",,,,,,,,,「ケーキ」も。比喩的に「街区」も。 ,,,,,,,,,,,,
tarbi,TRUE,,@1は@2〈母〉@3〈父〉による胎芽［胎児、胚芽、接合体］である,胎芽、胎児、胚芽、接合体,"@1 is an embryo/zygote/fetus/fertilized egg with mother @2, and father @3.",,,,,,,,,ヒトの場合、受精後８週未満の生体。 ,,,,,,,,,,,,
tarci,TRUE,,@1は@2〈特性〉の星［恒星］である,星、恒星,@1 is a star/sun with stellar properties @2.,,,,,,,-tar-,,「plini」と違い、自ら光り輝く星。「太陽」の類。 ,,,,,,,,,,,,
tarla,TRUE,,@1は@2〈起源〉のタール［アスファルト］である,タール、アスファルト,@1 is a quantity of/contains/is made of tar/asphalt from source @2.,,,,,,,,,道路舗装／木材防腐剤／染料に含まれる。 ,,,,,,,,,,,,
tarmi,TRUE,,@1《観念・属性》は@2の形状［形態、形式、仕様］である；@2の形状［形態、形式、仕様］は@1《観念・属性》を具現している。,形状、形態、形式、仕様、具現,@1 [ideal] is the conceptual shape/form of object/abstraction/manifestation @2 (object/abstract).,,,,,,,-tam-   ,-tai-,x1は観念的で、その性質を具現しているのが x2 。「キラキラの（x1）の指輪（ x2 ）」。「lo vi plise cu se tarmi lo si'o xunre／このリンゴは赤を具現化している。；このリンゴは『赤い』。」 ,,,,,,,,,,,,
tarti,TRUE,,@1は@2《こと・属性》を@3〈条件〉で振舞う,振舞う,@1 behaves/conducts oneself as/in-manner @2 (event/property) under conditions @3.,,,,,,,-tra-,,「式典（ x3 ）で行儀よく（ x2 ）振舞う」。 ,,,,,,,,,,,,
taske,TRUE,,@1は（喉の）渇きを感じる；@1は渇きで@2を求める,渇き,@1 thirsts for @2; @1 needs/wants drink/fluid/lubrication @2.,,,,,,,,,,,,,,,,,,,,,
tasmi,FALSE,,@1is the way or manner in which activity/event@2is done/happens,,@1 is the way or manner in which activity/event @2 is done/happens,,,,,,,,,"Lojban has always been lacking a gismu for ""x1 is the manner of event x2"" or similar. Later, {tai} started to be used for it, and then, since a BAI needs a brivla (usually a gismu) to be based on, they invented tamsmi. So {tasmi} is a true brivla for {tai}, the BAI of {tasmi}. Cf. {tai}, {tamsmi}",,,,,,,,,,,,
tasta,FALSE,,@1is a taste of x/2,,@1 is a taste of @2,,,,,,,,,"See {smaka}, {vrusi}, {kukte}, {krumami}, {sodna}",,,,,,,,,,,,
tatpi,TRUE,,@1は@2《こと》によって疲労［疲弊］している、疲れている,疲労、疲弊、疲れる,@1 is tired/fatigued by effort/situation @2 (event); @1 needs/wants rest.,,,,,,,-ta'i-,,,,,,,,,FF,こと,こと,-,-,-
tatru,TRUE,身体、部位,@1は@2〈本体〉の乳房［おっぱい］である,乳房、おっぱい,@1 is a/the breast/mammary/teat [body-part] of @2; [metaphor: projection providing liquid].,,,,,,,-tat-,,,,,,,,,DD,もの,もの,-,-,-
tavla,TRUE,,@1〈者〉は@2〈者〉に@3〈題目〉について@4〈言語〉で話す［語る］,話す、語る,@1 talks/speaks to @2 about subject @3 in language @4.,,,,,,,-tav-   ,-ta'a-,音声的とは限らず、「手話」も。 ,,,,,,,,,,,,
taxfu,TRUE,,@1は@2〈身体部分・性別・種族〉@3〈目的・機能〉の衣服［服飾］である,衣服、服飾,@1 is dress/a garment/clothing for wearing by @2 (gender/species/body part) serving purpose @3.,,,,,,,-taf-   ,-ta'u-,,,,,,,,,,,,,
tcaci,TRUE,,@1は@2の@3〈条件〉における習慣［慣習、風習、慣行、習性、性癖、慣わし］である,習慣、慣習、風習、慣行、習性、性癖、慣わし,@1 is a custom/habit/[ritual/rut] of @2 under conditions @3.,,,,,,,-cac-,,x3は「時代」など。 ,,,,,,,,,,,,
tcadu,TRUE,,@1は@2〈地域〉@3〈政体〉@4〈ヒンターランド〉の都市［都会、みやこ、メトロポリス］,都市、都会、みやこ、メトロポリス,"@1 is a town/city of metropolitan area @2, in political unit @3, serving hinterland/region @4.",,,,,,,-tca-,,x4は「港」など。 ,,,,,,,,,,,,
tcana,TRUE,,@1は@2〈交通・コミュニケーション・配給のネットワーク〉）の駅［局、ノード］である,駅、局、ノード,@1 is a station/node of/in/on transport/communication/distribution system/network @2.,,,,,,,,,,,,,,,,,,,,,
tcati,TRUE,,@1は@2〈葉・原料〉の茶［紅茶、緑茶］である,茶、紅茶、緑茶,@1 is made of/contains/is a quantity of tea brewed from leaves @2.,,,,,,,,,,,,,,,,,,,,,
tcaxe,FALSE,,@1(object) has charge@2(number) in units@3for interaction/of type@4and in/by/using convention x/5,,@1 (object) has charge @2 (number) in units @3 for interaction/of type @4 and in/by/using convention @5,,,,,,,,,"Generic type of charge; individual charges tend to be scalars. For electromagnetism, the meaning of a ""positive charge"" is either the signum of the charge of an electron for electricity or the signum of the charge of a south magnet for magnetism. Includes mass (gravitation charge ({gavytcaxe}) if it is being treated as such; x2 default: {ma'u}), electric charge ({dicmytcaxe}), (strong) isospin, weak isospin, color charge (Quantum Chromodynamics; {tsabytcaxe}), intrinsic spin/Dirac-Pauli charge, most quantum numbers (lepton number, baryon number), etc. See also: {majga}, {dikca}, {eldicka'u}, {kuardicka'u}, {paulcna}, {plankexu}, {grake}.",,,,,,,,,,,,
tcena,TRUE,,@1は@2〈範囲〉にわたり@3〈次元〉において@4〈通常の範囲〉から伸びる［拡張する］,伸びる、拡張,@1 stretches/extends to range @2 [interval/extent] in dimension @3 from relaxed range @4.,,,,,,,-ten-,,,,,,,,,,,,,,
tcese,FALSE,,@1(event) is lightlike-separated/signallike-separated/coincident from@2(event)  under signal means/in universe/by information channel (parametrization) x/3,,@1 (event) is lightlike-separated/signallike-separated/coincident from @2 (event)  under signal means/in universe/by information channel (parametrization) @3,,,,,,,,,"See also: {temse}, {calse}.",,,,,,,,,,,,
tcica,TRUE,,@1《こと・経験》は@2を欺いて［騙して］@3《こと・状態》をさせる；@2は@1に惑わされて@3をする,欺く、騙す,@1 (event/experience) misleads/deceives/dupes/fools/cheats/tricks @2 into @3 (event/state).,,,,,,,-tic-,,x3は行動や所信など。詐欺などの悪質性は必ずしも含意されない。 ,,,,,,,,,,,,
tcidu,TRUE,,@1は@2《文字列》を@3〈表面・書物〉から読む,読む,@1 [agent] reads @2 [text] from surface/document/reading material @3; @1 is a reader.,,,,,,,-tid-,,,,,,,,,,,,,,
tcika,TRUE,,@1〈時・分・秒〉は@2《こと》の@3〈日〉@4〈所〉における時刻である,時刻,"@1 [hours, minutes, seconds] is the time/hour of state/event @2 on day @3 at location @4.",,,,,,,,,x1は、「pi'e」で区切られた数や「joi」で繋がれた単位など。 ,,,,,,,,,,,,
tcila,TRUE,,@1は@2の特徴［特性、特質］である,特徴、特性、特質,@1 is a detail/feature/particular of @2.,,,,,,,-til-,,,,,,,,,,,,,,
tcima,TRUE,,@1は@2〈所・地域〉の気象［気候、天候、天気］である,気象、気候、天候、天気,@1 is weather at place/region @2; (adjective:) @1 is meteorological.,,,,,,,-tim-   ,-ti'a-,比喩的に「顔色」なども。「to'u ja'o tcima xamgu .inaja lo jikcre cu se sidju／とにかくお天気ならば世間師は助かる」（山頭火『行乞記（二）』） ,,,,,,,,,,,,
tcini,TRUE,,@1《状態・性質》は@2の状況［境遇、事情］である,状況、境遇、事情,@1 [state/property] is a situation/condition/state/position/are conditions/circumstances of @2.,,,,,,,,,［物・事・過程の一時的な環境。］ ,,,,,,,,,,,,
tcita,TRUE,,@1は@2の@3〈情報〉を表すタグ［札］である,タグ、札,@1 is a label/tag of @2 showing information @3.,,,,,,,,,,,,,,,,,,,,,
temci,TRUE,,@1は@2《時点》から@3《時点》までの間隔［経過時間］である,間隔、経過時間、時間,@1 is the time-duration/interval/period/[elapsed time] from time/event @2 to time/event @3.,,,,,,,-tem-   ,-tei-,「ditcu」と違い、特定の開始時点と終了時点が含意される。 ,,,,,,,,,,,,
temse,FALSE,,@1(event) is timelike-separated from@2(event)  under signal means/in universe/by information channel (parametrization) x/3,,@1 (event) is timelike-separated from @2 (event)  under signal means/in universe/by information channel (parametrization) @3,,,,,,,,,"Includes lightlike-separation. For events in the pastward light-cone (with the apex at ({mu'e}) x2), use {prutemse}; for futureward light-cone events, use {bavytemse}. See also: {calse}, {tcese}",,,,,,,,,,,,
tende,FALSE,,"@1(entity) tends, has tendency to@2(property of x/1)",,"@1 (entity) tends, has tendency to @2 (property of @1)",,,,,,,,,"See {dikni}, {lakne}. Proposed rafsi: -te'e-",,,,,,,,,,,,
tenfa,TRUE,,@1は@2〈底〉@3〈指数・累乗〉の指数関数（の結果）である,指数,@1 is the exponential result of base @2 to power/exponent @3.,,,,,,,-tef-,,,,,,,,,,,,,,
tengu,TRUE,,@1《属性》は@2の（視覚と触覚上の）質感［手ざわり、舌ざわり］である,質感、手触り、手ざわり、肌触り、舌触り、舌ざわり,@1 (property-ka) is a texture of @2.,,,,,,,-teg-   ,-te'u-,「でこぼこ」「ざらざら」などの類。 ,,,,,,,,,,,,
terdi,TRUE,,@1は@2〈生物種〉の地球［主要惑星、母星］である,地球、惑星、母星,@1 is the Earth/the home planet of race @2; (adjective:) @1 is terrestrial/earthbound.,,,,,,,-ted-,,形容詞的に「地球外」にたいする「地球内」も。 ,,,,,,,,,,,,
terpa,TRUE,,@1は@2を恐れる［怖がる］、に怯える； @2は@1をぎょっとさせる［脅す］,恐れる、怖がる、怯える、脅す,@1 fears @2; @1 is afraid/scared/frightened by/fearful of @2 (event/tu'a object).,,,,,,,-tep-   ,-te'a-,,,,,,,,,,,,,
terto,TRUE,SI接頭辞,@1は@3［≜単位］《属性》においてテラ［10¹²］個（分）の@2である,テラ、兆、T、1000000000000,@1 is a trillion [10^12] of @2 in dimension/aspect @3 (default is units).,,,,,,,-tet-,,,,,,,,,,,,,,
tifri,FALSE,,@1is the audience/enjoying party of work/performance/program/transmission/experience@2(concrete or abstract); @1watches/listens/reads/experiences x/2,,@1 is the audience/enjoying party of work/performance/program/transmission/experience @2 (concrete or abstract); @1 watches/listens/reads/experiences @2,,,,,,,,,"All connotations about the judgment of the experience by @1are neutral in this definition (despite the use of the ""enjoy""). This word references a generalizing concept of @1being an audience to some work or experience, such as magic acts (even if x1 participates somewhat), theatrical plays, ovations  (radio, storytelling, etc.), television programs, books, discussions or media productions on the Internet, etc. The core concept is audiencehood, regardless of the work being enjoyed/experienced and its form. There are no connotations about how@2is perceived by @1(that is: which senses are used), nor how@2is transmitted nor who or what allows x1 to experience it (that is: whether there is an agentive performer or just a piece of hardware that displays x/2), nor of the nature of x/2; the term is completely generic and general. See also {tigni}, {jarco}, {lifri}, {skina}, {kinzga}, {tirna}, {zgana}, {cradi}, {tivni}",,,,,,,,,,,,
tigni,TRUE,,@1は@2〈演技〉を@3〈者〉のために演じる；@1は役者［俳優］である,役者、俳優,@1 performs @2 [performance] for/before audience @3.,,,,,,,-tig-,,「gau zgitigni .ije sanga／ひかせてうたつてゐる」（山頭火『行乞記（二）』） ,,,,,,,,,,,,
tigra,FALSE,,@1is a tiger (Panthera tigris) of subspecies/breed x/2,,@1 is a tiger (Panthera tigris) of subspecies/breed @2,,,,,,,,,More specific than {tirxu}. See {bramlatu},,,,,,,,,,,,
tikpa,TRUE,,@1は@2〈対象本体〉@3〈対象箇所〉を@4で蹴る,蹴る,"@1 kicks [hits with @1's foot/feet @4] @2 in/at locus @3, using @1's foot/feet @4.",,,,,,,-tip-,,x4は普通x1の脚。 ,,,,,,,,,,,,
tilju,TRUE,,@1は@2〈基準・観点〉において重い,重い,@1 is heavy/weighty in mass/weight by standard @2.,,,,,,,-tij-,,「lo bakni ke tilju selbei zo'u viska je badri／牛の重荷は見てかなしい」（山頭火『行乞記（二）』） ,,,,,,,,,,,,
tinbe,TRUE,,@1は@2〈命令・規則〉に服従する［従う］；@1は従順,服従、従う、従順,@1 obeys/follows the command/rule @2 made by @3; (adjective:) @1 is obedient.,,,,,,,-tib-,,,,,,,,,,,,,,
tinci,TRUE,元素,@1はスズ［Sn］,スズ、Sn,@1 is a quantity of/contains/is made of tin (Sn); [metaphor: cheap or base metal].,,,,,,,,,,,,,,,"ratni, jinme",D,もの,-,-,-,-
tinsa,TRUE,,@1は@2〈方向〉@3〈力〉にたいして@4〈条件〉で固定［硬直］している；@1は@2の向きに動かない,固定、硬直,@1 is stiff/rigid/inflexible/resistant in direction @2 against force @3 under conditions @4.,,,,,,,,,比喩的に「融通がきかない」も。 ,,,,,,,,,,,,
tirna,TRUE,,@1は@2〈対象音声〉を@3〈環境音声〉にたいして聞く；@2が@1に聞こえる；@1には聴覚がある；@2は可聴音である,聞く,@1 hears @2 against background/noise @3; @2 is audible; (adjective:) @1 is aural.,,,,,,,-tin-,,,,,,,,,,,,,,
tirse,TRUE,元素,@1は鉄［Fe］,鉄、Fe,"@1 is a quantity of/contains/is made of iron (Fe); [metaphor: strong, durable, tarnishing].",,,,,,,-tir-,,,,,,,,"ratni, jinme",D,もの,-,-,-,-
tirxu,TRUE,生物、動物,@1は@2〈種類〉@3〈模様・柄〉のトラ［ヒョウ、ジャガー］である,トラ、ヒョウ、ジャガー,@1 is a tiger/leopard/jaguar/[tigress] of species/breed @2 with coat markings @3.,,,,,,,,,体の模様から識別できる大型のネコ科全般。 ,,,,,,,,,,,,
tisna,TRUE,,@1は@2〈内容〉によって膨れる；@2は@1に注がれる,膨れる,@1 (object) fills/becomes stuffed [up]/inflates/blows up with material @2; @2 pours into @1.,,,,,,,-tis-,,「culno」と違い、膨らむ／充満する過程を焦点とする。 ,,,,,,,,,,,,
titla,TRUE,味覚,@1は@2にとって甘い,甘い,@1 is sweet/sugary/saccharine to observer @2.,,,,,,,-tit-,,比喩的に「甘ったるい」も。 ,,,,,,,,,,,,
tivni,TRUE,,@1は@2〈番組・放送内容〉を@3〈媒体・チャンネル〉で@4〈受信機〉にテレビ放送［映像通信］する放送局である,放送、ライブ,@1 broadcasts/televises programming @2 via medium/channel @3 to television receiver @4.,,,,,,,-tiv-,,インターネット経由の動画配信も。 ,,,,,,,,,,,,
tixnu,TRUE,,@1は@2〈親〉の娘である,娘,@1 is a daughter of mother/father/parents @2; [not necessarily biological].,,,,,,,-tix-   ,-ti'u-,実の娘に限らない。 ,,,,,,,,,,,,
toknu,TRUE,,@1は@2を焼く［熱する、乾かす］ためのオーブン［かまど、天火、乾燥機、炉］である,オーブン、かまど、天火、乾燥機、炉,@1 is an oven [enclosure that heats its contents] for baking/heating/drying @2.,,,,,,,-tok-,,「火葬室」も。 ,,,,,,zukte,DD,もの,もの,-,-,-
toldi,TRUE,生物、動物,@1は@2〈種類〉のチョウ目の昆虫である,チョウ,@1 is a butterfly/moth of species/breed @2.,,,,,,,-tod-,,,,,,,,,,,,,,
tonga,TRUE,,@1は@2〈音程〉@3〈音源〉の音［トーン］である,音、トーン,@1 is a tone/note of frequency/pitch @2 from source @3.,,,,,,,-tog-   ,-to'a-,「tonga」は「sance」のうち特に周波数で識別できたり譜面に書き表せるもの。 ,,,,,,,,,,,,
tordu,TRUE,,@1は@2〈方向〉@3〈尺度〉に関して短い,短い,@1 is short in dimension/direction @2 (default longest dimension) by measurement standard @3.,,,,,,,-tor-   ,-to'u-,,,,,,,,,,,,,
torni,TRUE,,@1は@2〈力・荷〉によってねじれる［歪む］；@1はねじれている［歪んでいる］,ねじれる、歪む,@1 twists under load/force/torsion @2.,,,,,,,-ton-   ,-to'i-,,,,,,,,,,,,,
torso,FALSE,,@1is the torso (part of body excluding head and limbs) of x/2,,@1 is the torso (part of body excluding head and limbs) of @2,,,,,,,,,"See {cutne}, {betfu}, {xadni}, {stani}",,,,,,,,,,,,
traji,TRUE,,@1は@2《属性》@3〈極性〉@4〈集合・範囲〉に関して極致［最上、最下］である,極致、最上、最下,"@1 is superlative in property @2 (ka), the @3 extreme (ka; default ka zmadu) among set/range @4.",,,,,,,-rai-,,x3は「上／下」など、尺度の側／向き。「traji cumki (cumrai)／できるだけ」 ,,,,,,,,,,,,
trano,TRUE,元素,@1は窒素［N］,窒素、N,@1 is a quantity of/contains/is made of nitrogen/ammonia/nitrates.,,,,,,,,,,,,,,,ratni,D,もの,-,-,-,-
trati,TRUE,,@1は@2〈方向〉に張っている,張る,@1 is taut/tense/strained tight in direction @2.,,,,,,,,,,,,,,,,,,,,,
trene,TRUE,,@1は@2〈車両〉@3〈線路網・軌道〉@4〈原動力〉の列車である,列車、鉄道、電車、汽車、地下鉄,"@1 is a train [vehicle] of cars/units @2 (mass) for rails/system/railroad @3, propelled by @4.",,,,,,,-ren-   ,-re'e-,「モノレール」「リニアモーターカー」も。 ,,,,,,,,,,,,
tricu,TRUE,,@1は@2〈種類〉の木［樹木、立ち木］である,木、樹木、立ち木,@1 is a tree of species/cultivar @2.,,,,,,,-ric-,,生えている木。「lo vi jubme genai tricu gi mudri／ここにある机は、樹木ではないが木材でできている。」 ,,,,,,,,,,,,
trina,TRUE,,@1は@2を@3《属性》で誘惑する；@1は@2にとって魅力的,誘惑,@1 attracts/appeals to/lures @2 (person/event) with property/quality @3 (ka).,,,,,,,-tri-,,「lo'e te melbi cu trina lo prenu／美というものには人を魅了する力がある」 ,,,,,,,,,,,,
trixe,TRUE,位置関係、方向,@1は@2に対して@3から見ると後方［後側、後ろ、裏側、背後］にある［いる］,後方、後側、後ろ、裏側、背後,@1 is posterior/behind/back/in the rear of @2 which faces/in-frame-of-reference @3.,,,,,,,-rix-   ,-ti'e-,「背中」も。x3は顔の向きなど。,,,,,,,DDD,もの,もの,もの,-,-
troci,TRUE,,@1は@2《こと・状態・属性》を@3〈手段・方法〉で達成［獲得］しようと努める［努力する］；@1は@2をやってみる,努める、努力、頑張る,@1 tries/attempts/makes an effort to do/attain @2 (event/state/property) by actions/method @3.,,,,,,,-toc-   ,-toi-,,,,,,,,,,,,,
tsaba,FALSE,,"x1 pertains/is related to/reflects (the) strong nuclear force [fundamental physical interaction]/chromodynamic interaction in manner/with properties/in state/with realization x2, coupling to x3 in manner/with strength x4",,"x1 pertains/is related to/reflects (the) strong nuclear force [fundamental physical interaction]/chromodynamic interaction in manner/with properties/in state/with realization x2, coupling to x3 in manner/with strength x4",,,,,,,,,"See also: {jikfi}, {vubla}, {dicma}, {grava}, {xigzo}.",,,,,,,,,,,,
